x t u err
0.300000 0.125000 0.23073623 -0.00485999
0.400000 0.125000 0.27124670 -0.00571326
0.500000 0.125000 0.28520566 -0.00600727
0.600000 0.125000 0.27124670 -0.00571326
0.700000 0.125000 0.23073623 -0.00485999
0.800000 0.125000 0.16763968 -0.00353099
0.900000 0.125000 0.08813340 -0.00185635
1.000000 0.125000 0.00000000 -0.00000000
0.000000 0.130000 0.00000000 0.00000000
0.100000 0.130000 0.08381984 -0.00183688
0.200000 0.130000 0.15943481 -0.00349396
0.300000 0.130000 0.21944319 -0.00480902
0.400000 0.130000 0.25797094 -0.00565334
0.500000 0.130000 0.27124670 -0.00594427
0.600000 0.130000 0.25797094 -0.00565334
0.700000 0.130000 0.21944319 -0.00480902
0.800000 0.130000 0.15943481 -0.00349396
0.900000 0.130000 0.08381984 -0.00183688
1.000000 0.130000 0.00000000 -0.00000000
0.000000 0.135000 0.00000000 0.00000000
0.100000 0.135000 0.07971741 -0.00181493
0.200000 0.135000 0.15163152 -0.00345220
0.300000 0.135000 0.20870288 -0.00475155
0.400000 0.135000 0.24534495 -0.00558578
0.500000 0.135000 0.25797094 -0.00587323
0.600000 0.135000 0.24534495 -0.00558578
0.700000 0.135000 0.20870288 -0.00475155
0.800000 0.135000 0.15163152 -0.00345220
0.900000 0.135000 0.07971741 -0.00181493
1.000000 0.135000 0.00000000 -0.00000000
0.000000 0.140000 0.00000000 0.00000000
0.100000 0.140000 0.07581576 -0.00179078
0.200000 0.140000 0.14421014 -0.00340626
0.300000 0.140000 0.19848823 -0.00468832
0.400000 0.140000 0.23333691 -0.00551145
0.500000 0.140000 0.24534495 -0.00579508
0.600000 0.140000 0.23333691 -0.00551145
0.700000 0.140000 0.19848823 -0.00468832
0.800000 0.140000 0.14421014 -0.00340626
0.900000 0.140000 0.07581576 -0.00179078
1.000000 0.140000 0.00000000 -0.00000000
0.000000 0.145000 0.00000000 0.00000000
0.100000 0.145000 0.07210507 -0.00176470
0.200000 0.145000 0.13715199 -0.00335665
0.300000 0.145000 0.18877352 -0.00462004
0.400000 0.145000 0.22191659 -0.00543118
0.500000 0.145000 0.23333691 -0.00571068
0.600000 0.145000 0.22191659 -0.00543118
0.700000 0.145000 0.18877352 -0.00462004
0.800000 0.145000 0.13715199 -0.00335665
0.900000 0.145000 0.07210507 -0.00176470
1.000000 0.145000 0.00000000 -0.00000000
0.000000 0.150000 0.00000000 0.00000000
0.100000 0.150000 0.06857600 -0.00173693
0.200000 0.150000 0.13043930 -0.00330383
0.300000 0.150000 0.17953429 -0.00454733
0.400000 0.150000 0.21105522 -0.00534571
0.500000 0.150000 0.22191659 -0.00562081
0.600000 0.150000 0.21105522 -0.00534571
0.700000 0.150000 0.17953429 -0.00454733
0.800000 0.150000 0.13043930 -0.00330383
0.900000 0.150000 0.06857600 -0.00173693
1.000000 0.150000 0.00000000 -0.00000000
0.000000 0.155000 0.00000000 0.00000000
0.100000 0.155000 0.06521965 -0.00170769
0.200000 0.155000 0.12405514 -0.00324823
0.300000 0.155000 0.17074726 -0.00447080
0.400000 0.155000 0.20072544 -0.00525574
0.500000 0.155000 0.21105522 -0.00552621
0.600000 0.155000 0.20072544 -0.00525574
0.700000 0.155000 0.17074726 -0.00447080
0.800000 0.155000 0.12405514 -0.00324823
0.900000 0.155000 0.06521965 -0.00170769
1.000000 0.155000 0.00000000 -0.00000000
0.000000 0.160000 0.00000000 0.00000000
0.100000 0.160000 0.06202757 -0.00167721
0.200000 0.160000 0.11798345 -0.00319024
0.300000 0.160000 0.16239029 -0.00439098
0.400000 0.160000 0.19090124 -0.00516191
0.500000 0.160000 0.20072544 -0.00542755
0.600000 0.160000 0.19090124 -0.00516191
0.700000 0.160000 0.16239029 -0.00439098
0.800000 0.160000 0.11798345 -0.00319024
0.900000 0.160000 0.06202757 -0.00167721
1.000000 0.160000 0.00000000 -0.00000000
0.000000 0.165000 0.00000000 0.00000000
0.100000 0.165000 0.05899173 -0.00164565
0.200000 0.165000 0.11220893 -0.00313022
0.300000 0.165000 0.15444235 -0.00430838
0.400000 0.165000 0.18155787 -0.00506480
0.500000 0.165000 0.19090124 -0.00532545
0.600000 0.165000 0.18155787 -0.00506480
0.700000 0.165000 0.15444235 -0.00430838
0.800000 0.165000 0.11220893 -0.00313022
0.900000 0.165000 0.05899173 -0.00164565
1.000000 0.165000 0.00000000 -0.00000000
0.000000 0.170000 0.00000000 0.00000000
0.100000 0.170000 0.05610447 -0.00161321
0.200000 0.170000 0.10671704 -0.00306851
0.300000 0.170000 0.14688340 -0.00422345
0.400000 0.170000 0.17267179 -0.00496496
0.500000 0.170000 0.18155787 -0.00522047
0.600000 0.170000 0.17267179 -0.00496496
0.700000 0.170000 0.14688340 -0.00422345
0.800000 0.170000 0.10671704 -0.00306851
0.900000 0.170000 0.05610447 -0.00161321
1.000000 0.170000 0.00000000 -0.00000000
0.000000 0.175000 0.00000000 0.00000000
0.100000 0.175000 0.05335852 -0.00158004
0.200000 0.175000 0.10149393 -0.00300542
0.300000 0.175000 0.13969441 -0.00413661
0.400000 0.175000 0.16422063 -0.00486288
0.500000 0.175000 0.17267179 -0.00511313
0.600000 0.175000 0.16422063 -0.00486288
0.700000 0.175000 0.13969441 -0.00413661
0.800000 0.175000 0.10149393 -0.00300542
0.900000 0.175000 0.05335852 -0.00158004
1.000000 0.175000 0.00000000 -0.00000000
0.000000 0.180000 0.00000000 0.00000000
0.100000 0.180000 0.05074697 -0.00154629
0.200000 0.180000 0.09652647 -0.00294122
0.300000 0.180000 0.13285728 -0.00404825
0.400000 0.180000 0.15618310 -0.00475900
0.500000 0.180000 0.16422063 -0.00500391
0.600000 0.180000 0.15618310 -0.00475900
0.700000 0.180000 0.13285728 -0.00404825
0.800000 0.180000 0.09652647 -0.00294122
0.900000 0.180000 0.05074697 -0.00154629
1.000000 0.180000 0.00000000 -0.00000000
0.000000 0.185000 0.00000000 0.00000000
0.100000 0.185000 0.04826323 -0.00151210
0.200000 0.185000 0.09180212 -0.00287618
0.300000 0.185000 0.12635478 -0.00395872
0.400000 0.185000 0.14853896 -0.00465375
0.500000 0.185000 0.15618310 -0.00489325
0.600000 0.185000 0.14853896 -0.00465375
0.700000 0.185000 0.12635478 -0.00395872
0.800000 0.185000 0.09180212 -0.00287618
0.900000 0.185000 0.04826323 -0.00151210
1.000000 0.185000 0.00000000 -0.00000000
0.000000 0.190000 0.00000000 0.00000000
0.100000 0.190000 0.04590106 -0.00147758
0.200000 0.190000 0.08730901 -0.00281052
0.300000 0.190000 0.12017054 -0.00386834
0.400000 0.190000 0.14126894 -0.00454751
0.500000 0.190000 0.14853896 -0.00478153
0.600000 0.190000 0.14126894 -0.00454751
0.700000 0.190000 0.12017054 -0.00386834
0.800000 0.190000 0.08730901 -0.00281052
0.900000 0.190000 0.04590106 -0.00147758
1.000000 0.190000 0.00000000 -0.00000000
0.000000 0.195000 0.00000000 0.00000000
0.100000 0.195000 0.04365450 -0.00144284
0.200000 0.195000 0.08303580 -0.00274445
0.300000 0.195000 0.11428898 -0.00377741
0.400000 0.195000 0.13435475 -0.00444061
0.500000 0.195000 0.14126894 -0.00466914
0.600000 0.195000 0.13435475 -0.00444061
0.700000 0.195000 0.11428898 -0.00377741
0.800000 0.195000 0.08303580 -0.00274445
0.900000 0.195000 0.04365450 -0.00144284
1.000000 0.195000 0.00000000 -0.00000000
0.000000 0.200000 0.00000000 0.00000000
0.100000 0.200000 0.04151790 -0.00140800
0.200000 0.200000 0.07897174 -0.00267818
0.300000 0.200000 0.10869528 -0.00368619
0.400000 0.200000 0.12777896 -0.00433338
0.500000 0.200000 0.13435475 -0.00455638
0.600000 0.200000 0.12777896 -0.00433338
0.700000 0.200000 0.10869528 -0.00368619
0.800000 0.200000 0.07897174 -0.00267818
0.900000 0.200000 0.04151790 -0.00140800
1.000000 0.200000 0.00000000 -0.00000000
